;DATE;T_Q_Moyenne;Anomalies;Month;Day
403;2011-02-08 00:00:00;5,607298851;1;2;8
404;2011-02-09 00:00:00;5,019904613;1;2;9
405;2011-02-10 00:00:00;6,390699863;1;2;10
406;2011-02-11 00:00:00;7,58256197;1;2;11
407;2011-02-12 00:00:00;6,000545502;1;2;12
408;2011-02-13 00:00:00;5,759088039;1;2;13
409;2011-02-14 00:00:00;5,275687695;1;2;14
410;2011-02-15 00:00:00;4,984613895;1;2;15
411;2011-02-16 00:00:00;4,774059772;1;2;16
412;2011-02-17 00:00:00;4,275495052;1;2;17
413;2011-02-18 00:00:00;3,629720926;1;2;18
414;2011-02-19 00:00:00;5,059603691;1;2;19
415;2011-02-20 00:00:00;4,837141037;1;2;20
416;2011-02-21 00:00:00;4,488637447;1;2;21
417;2011-02-22 00:00:00;3,522593975;1;2;22
418;2011-02-23 00:00:00;3,143146038;1;2;23
419;2011-02-24 00:00:00;6,528234959;1;2;24
420;2011-02-25 00:00:00;7,467013836;1;2;25
421;2011-02-26 00:00:00;6,542216301;1;2;26
422;2011-02-27 00:00:00;4,179670334;1;2;27
423;2011-02-28 00:00:00;2,91792345;1;2;28
424;2011-03-01 00:00:00;3,598999262;1;3;1
425;2011-03-02 00:00:00;3,179630041;1;3;2
426;2011-03-03 00:00:00;2,26461792;1;3;3
427;2011-03-04 00:00:00;3,440072775;1;3;4
428;2011-03-05 00:00:00;3,854781628;1;3;5
429;2011-03-06 00:00:00;3,588728189;1;3;6
430;2011-03-07 00:00:00;4,021936893;1;3;7
431;2011-03-08 00:00:00;5,821128368;1;3;8
432;2011-03-09 00:00:00;6,220885754;1;3;9
433;2011-03-10 00:00:00;6,544177055;1;3;10
434;2011-03-11 00:00:00;7,37476778;1;3;11
435;2011-03-12 00:00:00;7,583673954;1;3;12
436;2011-03-13 00:00:00;8,009431839;1;3;13
437;2011-03-14 00:00:00;9,331449509;1;3;14
438;2011-03-15 00:00:00;10,76702404;1;3;15
439;2011-03-16 00:00:00;9,422169685;1;3;16
440;2011-03-17 00:00:00;6,936847687;1;3;17
441;2011-03-18 00:00:00;7,510534286;1;3;18
442;2011-03-19 00:00:00;6,734775543;1;3;19
443;2011-03-20 00:00:00;5,533461571;1;3;20
444;2011-03-21 00:00:00;6,105277061;1;3;21
445;2011-03-22 00:00:00;7,127790451;1;3;22
446;2011-03-23 00:00:00;8,836675644;1;3;23
447;2011-03-24 00:00:00;10,13650417;1;3;24
448;2011-03-25 00:00:00;10,23230934;1;3;25
449;2011-03-26 00:00:00;10,28444195;1;3;26
450;2011-03-27 00:00:00;9,502162933;1;3;27
451;2011-03-28 00:00:00;9,106560707;1;3;28
452;2011-03-29 00:00:00;9,192984581;1;3;29
453;2011-03-30 00:00:00;9,552901268;1;3;30
454;2011-03-31 00:00:00;11,35420513;1;3;31
455;2011-04-01 00:00:00;13,24125576;1;4;1
456;2011-04-02 00:00:00;14,12542534;1;4;2
457;2011-04-03 00:00:00;11,69567299;1;4;3
458;2011-04-04 00:00:00;9,451960564;1;4;4
459;2011-04-05 00:00:00;10,71410179;1;4;5
460;2011-04-06 00:00:00;14,21712494;1;4;6
461;2011-04-07 00:00:00;15,53711033;1;4;7
462;2011-04-08 00:00:00;14,84133625;1;4;8
